pais,codigo_iso,region,anio,temperatura_promedio,precipitacion_total,eventos_extremos,meses_estres_hidrico,indice_aridez,temperatura_maxima,temperatura_minima,humedad_relativa_promedio,dias_con_heladas
Argentina,ARG,Patagonia,2018-01-01,23.0,1072,"sequia_extrema, ola_calor",2,12.95,32.6,10.1,80,40
Argentina,ARG,Patagonia,2019-01-01,12.1,506,,7,11.62,25.4,1.2,80,76
Argentina,ARG,Patagonia,2020-01-01,16.2,617,,5,10.58,29.4,9.7,71,26
Brasil,BRA,Cerrado,2011-01-01,17.7,484,,10,7.6,32.4,6.4,75,44
Brasil,BRA,Cerrado,2012-01-01,11.3,1103,,3,27.11,23.0,6.0,79,74
Brasil,BRA,Cerrado,2013-01-01,12.3,865,"tormenta_severa, incendios",1,19.53,21.1,1.9,64,77
Brasil,BRA,Cerrado,2014-01-01,23.9,396,"sequia_extrema, tormenta_severa",12,4.6,36.7,11.6,65,70
Brasil,BRA,Cerrado,2015-01-01,15.9,1249,,2,21.82,27.2,4.3,83,81
Brasil,BRA,Cerrado,2016-01-01,21.5,651,,6,8.41,34.1,13.6,68,20
Brasil,BRA,Cerrado,2017-01-01,23.2,519,,6,6.21,34.8,11.4,46,49
Brasil,BRA,Cerrado,2018-01-01,18.5,701,sequia_extrema,7,10.53,29.7,3.5,78,73
Brasil,BRA,Cerrado,2019-01-01,20.5,1291,,3,17.49,32.3,6.0,41,95
Brasil,BRA,Cerrado,2020-01-01,18.7,1253,incendios,2,18.61,30.9,11.3,70,119
Brasil,BRA,Amazonía,2011-01-01,19.6,445,"incendios, tormenta_severa, sequia_severa",11,6.31,30.6,4.7,51,59
Brasil,BRA,Amazonía,2012-01-01,17.8,404,,7,6.3,25.2,5.6,44,0
Brasil,BRA,Amazonía,2013-01-01,20.9,1127,,3,14.98,26.6,11.7,56,113
Brasil,BRA,Amazonía,2014-01-01,21.6,471,,6,6.06,31.0,8.3,43,37
Brasil,BRA,Amazonía,2015-01-01,22.9,1055,,4,12.8,34.2,13.5,47,13
Brasil,BRA,Amazonía,2016-01-01,13.2,677,helada_tardia,6,14.25,24.8,6.8,55,101
Brasil,BRA,Amazonía,2017-01-01,16.7,665,,6,11.06,29.2,4.1,61,37
Brasil,BRA,Amazonía,2018-01-01,20.2,629,sequia_extrema,4,8.65,30.4,14.9,63,72
Brasil,BRA,Amazonía,2019-01-01,16.8,560,,6,9.26,28.9,5.1,49,95
Brasil,BRA,Amazonía,2020-01-01,22.4,519,sequia_moderada,4,6.44,33.2,15.9,40,33
Brasil,BRA,Mata Atlántica,2011-01-01,16.6,916,,1,15.33,31.3,5.2,77,109
Brasil,BRA,Mata Atlántica,2012-01-01,17.2,1086,,4,17.54,27.0,7.4,64,1
Brasil,BRA,Mata Atlántica,2013-01-01,19.2,333,"sequia_severa, inundacion, sequia_extrema",9,4.82,28.8,5.1,40,107
Brasil,BRA,Mata Atlántica,2014-01-01,22.1,1486,,2,18.68,33.7,13.1,46,42
Brasil,BRA,Mata Atlántica,2015-01-01,19.0,712,,3,10.41,33.7,13.4,76,66
Brasil,BRA,Mata Atlántica,2016-01-01,14.4,653,,4,12.6,21.7,2.2,51,5
Brasil,BRA,Mata Atlántica,2017-01-01,24.0,679,,3,7.86,38.1,17.7,59,7
Brasil,BRA,Mata Atlántica,2018-01-01,13.9,587,helada_tardia,3,11.73,20.9,7.7,45,60
Brasil,BRA,Mata Atlántica,2019-01-01,12.1,945,,4,21.69,21.4,-1.9,68,99
Brasil,BRA,Mata Atlántica,2020-01-01,20.0,1109,,2,15.4,32.5,9.0,71,80
Estados Unidos,USA,Corn Belt,2011-01-01,12.7,1072,"inundacion, helada_tardia, sequia_extrema",4,23.45,22.7,1.4,47,96
Estados Unidos,USA,Corn Belt,2012-01-01,23.6,1053,,1,12.39,30.4,11.0,83,38
Estados Unidos,USA,Corn Belt,2013-01-01,10.9,1434,,1,36.54,23.7,-1.7,53,39
Estados Unidos,USA,Corn Belt,2014-01-01,17.6,575,,7,9.08,24.7,5.9,60,20
Estados Unidos,USA,Corn Belt,2015-01-01,11.9,669,,5,15.62,26.5,-2.9,81,76
Estados Unidos,USA,Corn Belt,2016-01-01,21.1,1449,,2,19.08,29.8,13.0,62,106
Estados Unidos,USA,Corn Belt,2017-01-01,21.0,803,,3,10.62,26.6,11.9,81,103
Estados Unidos,USA,Corn Belt,2018-01-01,11.4,956,"ola_calor, tormenta_severa, granizo",2,23.29,16.6,2.1,64,41
Estados Unidos,USA,Corn Belt,2019-01-01,19.3,1242,,2,17.88,25.4,11.9,60,92
Estados Unidos,USA,Corn Belt,2020-01-01,17.1,1385,"granizo, incendios, sequia_severa",2,22.5,32.0,6.2,43,12
Estados Unidos,USA,Great Plains,2011-01-01,11.0,693,"sequia_extrema, sequia_severa",5,17.5,25.8,-1.3,49,111
Estados Unidos,USA,Great Plains,2012-01-01,11.4,550,"tormenta_severa, ola_calor, incendios",7,13.4,24.6,-0.5,48,98
Estados Unidos,USA,Great Plains,2013-01-01,22.1,1473,,2,18.51,36.2,12.6,53,23
Estados Unidos,USA,Great Plains,2014-01-01,14.4,504,,5,9.72,22.0,1.9,41,17
Estados Unidos,USA,Great Plains,2015-01-01,11.5,788,"sequia_moderada, helada_tardia, tormenta_severa",7,19.03,20.9,6.2,72,111
Estados Unidos,USA,Great Plains,2016-01-01,22.0,1285,,0,16.22,32.7,7.3,47,68
Estados Unidos,USA,Great Plains,2017-01-01,13.4,943,,1,19.55,25.9,0.7,67,104
Estados Unidos,USA,Great Plains,2018-01-01,15.3,921,,0,16.72,22.1,4.5,69,67
Estados Unidos,USA,Great Plains,2019-01-01,23.1,1372,,2,16.5,28.2,9.8,41,1
Estados Unidos,USA,Great Plains,2020-01-01,12.7,722,,5,15.79,23.0,1.2,52,98
Estados Unidos,USA,California,2011-01-01,23.5,1531,,1,18.1,36.2,16.4,51,12
Estados Unidos,USA,California,2012-01-01,11.4,1136,,0,27.68,19.7,3.2,54,84
Estados Unidos,USA,California,2013-01-01,12.9,602,,4,12.96,25.6,7.6,68,15
Estados Unidos,USA,California,2014-01-01,22.3,823,,3,10.25,27.8,12.9,52,26
Estados Unidos,USA,California,2015-01-01,20.4,1197,,4,16.3,32.6,14.2,53,15
Estados Unidos,USA,California,2016-01-01,23.7,1424,,1,16.69,38.6,10.7,63,61
Estados Unidos,USA,California,2017-01-01,13.7,348,,9,7.06,28.3,7.7,63,39
Estados Unidos,USA,California,2018-01-01,23.6,755,,3,8.89,35.1,10.5,70,2
Estados Unidos,USA,California,2019-01-01,24.7,585,sequia_extrema,7,6.58,29.8,14.5,48,88
Estados Unidos,USA,California,2020-01-01,17.3,306,,8,4.91,26.0,8.2,50,53
India,IND,Punjab,2011-01-01,14.0,1561,,1,30.97,22.7,-0.2,50,3
India,IND,Punjab,2012-01-01,17.8,776,"sequia_moderada, tormenta_severa",5,12.11,23.1,8.1,49,116
India,IND,Punjab,2013-01-01,16.9,1031,sequia_moderada,2,16.95,30.9,11.0,44,14
India,IND,Punjab,2014-01-01,24.3,993,,4,11.35,37.4,19.3,70,60
India,IND,Punjab,2015-01-01,23.0,617,,3,7.45,32.8,10.5,76,25
India,IND,Punjab,2016-01-01,12.8,786,,3,17.06,25.0,5.0,79,13
India,IND,Punjab,2017-01-01,14.4,553,,6,10.67,26.1,4.2,76,113
India,IND,Punjab,2018-01-01,13.5,1310,"sequia_moderada, granizo, helada_tardia",0,26.95,26.4,-1.3,40,18
India,IND,Punjab,2019-01-01,18.7,1248,"incendios, helada_tardia",1,18.54,30.0,5.5,76,51
India,IND,Punjab,2020-01-01,17.1,568,"tormenta_severa, helada_tardia",5,9.23,32.1,10.2,61,103
India,IND,Ganges,2011-01-01,22.9,1028,,4,12.47,30.5,10.1,67,82
India,IND,Ganges,2012-01-01,9.2,1132,,0,34.18,19.7,1.2,62,39
India,IND,Ganges,2013-01-01,18.1,1143,,1,17.54,27.1,3.7,72,24
India,IND,Ganges,2014-01-01,13.0,982,,4,20.98,24.0,6.5,73,67
India,IND,Ganges,2015-01-01,10.8,1012,,1,26.03,19.5,4.8,50,81
India,IND,Ganges,2016-01-01,20.5,1146,"granizo, inundacion, sequia_extrema",0,15.53,35.1,6.0,58,49
India,IND,Ganges,2017-01-01,24.7,1447,"sequia_moderada, sequia_severa",2,16.27,36.8,13.0,53,118
India,IND,Ganges,2018-01-01,19.7,1116,"sequia_extrema, inundacion",3,15.74,32.6,8.2,65,75
India,IND,Ganges,2019-01-01,11.6,1542,"sequia_severa, sequia_extrema",1,36.93,21.0,-0.1,60,1
India,IND,Ganges,2020-01-01,19.6,1025,,1,14.53,31.2,11.6,47,69
India,IND,Deccan,2011-01-01,19.9,1007,,2,14.06,33.7,5.4,42,48
India,IND,Deccan,2012-01-01,23.0,588,"incendios, ola_calor, sequia_severa",7,7.1,29.0,8.0,78,76
India,IND,Deccan,2013-01-01,24.0,588,,6,6.81,33.2,12.6,57,107
India,IND,Deccan,2014-01-01,20.1,633,,5,8.75,34.9,14.3,46,91
India,IND,Deccan,2015-01-01,22.1,612,,3,7.69,37.1,8.8,71,71
India,IND,Deccan,2016-01-01,19.4,1123,,0,16.08,30.4,8.5,81,12
India,IND,Deccan,2017-01-01,19.4,416,,10,5.96,28.6,10.5,42,44
India,IND,Deccan,2018-01-01,19.6,948,"granizo, sequia_moderada",1,13.44,30.3,14.4,61,12
India,IND,Deccan,2019-01-01,13.0,780,,5,16.67,26.2,4.6,55,35
India,IND,Deccan,2020-01-01,16.6,427,inundacion,10,7.15,29.3,6.1,60,94
China,CHN,Región Principal,2011-01-01,17.0,817,,2,13.35,25.5,6.6,54,40
China,CHN,Región Principal,2012-01-01,23.1,445,,9,5.35,34.5,10.5,52,33
China,CHN,Región Principal,2013-01-01,22.4,860,,1,10.66,37.0,14.2,47,24
China,CHN,Región Principal,2014-01-01,19.3,1424,,4,20.5,26.1,8.1,44,25
China,CHN,Región Principal,2015-01-01,12.6,1229,,1,27.09,24.8,2.3,65,17
China,CHN,Región Principal,2016-01-01,25.2,477,,8,5.26,36.3,10.5,60,28
China,CHN,Región Principal,2017-01-01,16.8,372,"inundacion, tormenta_severa",7,6.15,30.6,7.4,53,18
China,CHN,Región Principal,2018-01-01,8.7,619,,6,19.76,19.3,-6.3,52,52
China,CHN,Región Principal,2019-01-01,12.5,950,,3,21.11,25.0,0.4,63,102
China,CHN,Región Principal,2020-01-01,21.6,956,"helada_tardia, sequia_severa, tormenta_severa",1,12.29,29.8,8.3,84,31
Francia,FRA,Región Principal,2011-01-01,20.7,1160,,3,15.57,31.1,14.7,78,29
Francia,FRA,Región Principal,2012-01-01,21.2,1186,,3,15.54,28.9,7.8,69,79
Francia,FRA,Región Principal,2013-01-01,15.3,1209,"tormenta_severa, sequia_moderada",2,21.95,25.1,3.2,44,87
Francia,FRA,Región Principal,2014-01-01,14.6,1302,,0,24.77,26.7,4.7,85,97
Francia,FRA,Región Principal,2015-01-01,23.3,1455,,2,17.35,31.6,12.6,72,52
Francia,FRA,Región Principal,2016-01-01,12.7,877,"sequia_moderada, helada_tardia, ola_calor",0,19.18,25.4,7.0,44,67
Francia,FRA,Región Principal,2017-01-01,15.3,588,,4,10.68,28.7,10.0,71,93
Francia,FRA,Región Principal,2018-01-01,13.1,418,,9,8.86,26.1,4.3,70,17
Francia,FRA,Región Principal,2019-01-01,22.1,452,,8,5.68,32.1,15.3,65,25
Francia,FRA,Región Principal,2020-01-01,13.8,1387,,4,27.92,21.4,0.0,43,71
Alemania,DEU,Región Principal,2011-01-01,9.9,886,,0,24.86,18.2,1.8,76,72
Alemania,DEU,Región Principal,2012-01-01,14.6,404,,10,7.69,21.8,6.1,83,116
Alemania,DEU,Región Principal,2013-01-01,11.4,731,,4,17.81,21.5,-1.7,68,3
Alemania,DEU,Región Principal,2014-01-01,20.5,1589,"ola_calor, sequia_severa",2,21.53,32.3,9.6,50,115
Alemania,DEU,Región Principal,2015-01-01,10.5,555,,6,14.68,24.8,0.0,64,100
Alemania,DEU,Región Principal,2016-01-01,16.9,411,,7,6.76,31.5,7.0,65,5
Alemania,DEU,Región Principal,2017-01-01,16.6,1574,,4,26.34,22.6,6.4,82,83
Alemania,DEU,Región Principal,2018-01-01,15.0,944,,4,17.48,26.4,7.2,48,57
Alemania,DEU,Región Principal,2019-01-01,21.8,626,,6,7.98,27.0,15.8,75,61
Alemania,DEU,Región Principal,2020-01-01,20.6,739,,3,9.96,30.9,15.2,45,39
Australia,AUS,Murray-Darling Basin,2011-01-01,23.6,1040,,0,12.24,33.9,18.1,59,49
Australia,AUS,Murray-Darling Basin,2012-01-01,11.5,1646,,4,39.76,21.7,4.7,63,87
Australia,AUS,Murray-Darling Basin,2013-01-01,19.3,1643,,2,23.65,25.0,12.3,53,73
Australia,AUS,Murray-Darling Basin,2014-01-01,20.9,281,,8,3.73,25.9,13.5,61,22
Australia,AUS,Murray-Darling Basin,2015-01-01,24.4,1466,inundacion,4,16.69,36.1,10.6,67,87
Australia,AUS,Murray-Darling Basin,2016-01-01,18.9,1178,,2,17.31,28.0,13.8,66,48
Australia,AUS,Murray-Darling Basin,2017-01-01,15.1,1374,,3,25.28,20.5,2.4,48,84
Australia,AUS,Murray-Darling Basin,2018-01-01,19.2,332,,6,4.8,26.0,10.9,56,87
Australia,AUS,Murray-Darling Basin,2019-01-01,20.1,1037,,2,14.33,26.2,13.9,52,11
Australia,AUS,Murray-Darling Basin,2020-01-01,17.2,1075,,0,17.36,23.3,11.8,64,23
Australia,AUS,Wheatbelt,2011-01-01,10.0,1103,,1,30.64,19.4,-2.7,82,119
Australia,AUS,Wheatbelt,2012-01-01,18.4,1601,sequia_extrema,2,24.17,32.0,10.9,51,44
Australia,AUS,Wheatbelt,2013-01-01,15.6,1315,,4,23.42,21.2,8.8,52,42
Australia,AUS,Wheatbelt,2014-01-01,21.0,684,"ola_calor, sequia_extrema, sequia_severa",7,9.05,35.6,15.4,83,8
Australia,AUS,Wheatbelt,2015-01-01,16.5,816,,2,13.74,21.9,2.5,83,29
Australia,AUS,Wheatbelt,2016-01-01,8.8,290,,12,9.15,16.0,-2.5,76,69
Australia,AUS,Wheatbelt,2017-01-01,12.3,1267,,2,28.61,24.2,3.4,55,87
Australia,AUS,Wheatbelt,2018-01-01,18.8,632,,4,9.34,28.3,5.0,54,18
Australia,AUS,Wheatbelt,2019-01-01,15.7,1124,helada_tardia,0,19.89,25.0,7.7,42,58
Australia,AUS,Wheatbelt,2020-01-01,17.2,1620,"helada_tardia, inundacion, incendios",3,26.16,31.0,7.6,68,56
Australia,AUS,Queensland Coast,2011-01-01,23.8,912,"inundacion, tormenta_severa, sequia_severa",1,10.64,34.5,9.3,82,100
Australia,AUS,Queensland Coast,2012-01-01,19.4,1526,,2,21.85,26.5,13.0,46,69
Australia,AUS,Queensland Coast,2013-01-01,20.8,732,,3,9.78,27.8,12.4,50,84
Australia,AUS,Queensland Coast,2014-01-01,14.8,899,,3,16.87,25.5,8.1,83,72
Australia,AUS,Queensland Coast,2015-01-01,21.8,1198,"incendios, inundacion",1,15.27,34.4,11.9,79,119
Australia,AUS,Queensland Coast,2016-01-01,21.8,762,sequia_severa,3,9.71,26.9,8.2,43,42
Australia,AUS,Queensland Coast,2017-01-01,24.0,595,ola_calor,3,6.89,32.6,9.9,77,115
Australia,AUS,Queensland Coast,2018-01-01,23.0,796,"sequia_extrema, tormenta_severa, sequia_severa",6,9.61,29.2,8.9,66,20
Australia,AUS,Queensland Coast,2019-01-01,19.0,962,,1,14.06,33.8,7.4,49,116
Australia,AUS,Queensland Coast,2020-01-01,15.6,1149,,1,20.46,28.3,4.7,63,119
México,MEX,Región Principal,2011-01-01,16.5,796,,7,13.4,24.9,8.1,45,113
México,MEX,Región Principal,2012-01-01,15.9,549,,3,9.59,30.8,3.0,82,25
México,MEX,Región Principal,2013-01-01,25.1,807,"incendios, sequia_moderada, ola_calor",4,8.93,34.3,18.4,56,24
México,MEX,Región Principal,2014-01-01,18.9,1196,,1,17.58,24.4,11.5,59,33
México,MEX,Región Principal,2015-01-01,15.4,901,,3,16.25,27.0,7.1,42,16
México,MEX,Región Principal,2016-01-01,21.6,1453,,1,18.69,35.6,12.8,42,88
México,MEX,Región Principal,2017-01-01,19.6,1274,,3,18.06,28.7,11.2,62,92
México,MEX,Región Principal,2018-01-01,13.3,442,,11,9.23,19.1,1.6,60,110
México,MEX,Región Principal,2019-01-01,18.6,489,sequia_extrema,8,7.3,24.2,7.9,55,99
México,MEX,Región Principal,2020-01-01,12.0,427,,10,9.88,17.7,1.2,69,80
Kenia,KEN,Región Principal,2011-01-01,21.9,1055,,1,13.38,36.1,7.6,51,11
Kenia,KEN,Región Principal,2012-01-01,20.6,440,"sequia_severa, granizo, sequia_extrema",11,5.93,30.9,10.8,52,90
Kenia,KEN,Región Principal,2013-01-01,23.9,939,,0,10.91,33.3,13.8,45,22
Kenia,KEN,Región Principal,2014-01-01,25.7,634,sequia_severa,4,6.85,32.6,17.5,54,20
Kenia,KEN,Región Principal,2015-01-01,15.3,1257,,1,22.82,24.6,2.1,55,67
Kenia,KEN,Región Principal,2016-01-01,10.7,1249,sequia_severa,3,32.42,19.1,-1.6,79,96
Kenia,KEN,Región Principal,2017-01-01,23.1,430,"sequia_severa, helada_tardia, ola_calor",12,5.17,37.3,14.5,83,77
Kenia,KEN,Región Principal,2018-01-01,19.5,430,,11,6.13,32.6,10.8,59,97
Kenia,KEN,Región Principal,2019-01-01,18.1,851,"helada_tardia, granizo, inundacion",3,13.06,26.3,5.1,65,59
Kenia,KEN,Región Principal,2020-01-01,22.0,938,,0,11.84,35.7,9.1,64,111
