pais,codigo_iso,region,cultivo,anio,superficie_hectareas,rendimiento_ton_ha,produccion_ton,fertilizantes_kg_ha,agua_riego_m3_ha,tendencia_5_anios
Argentina,ARG,América del Sur,Girasol,2019-01-01,258647,1.8,465199,96,1823,-0.0239843686080695
Argentina,ARG,América del Sur,Café,2019-01-01,231679,1.23,284510,242,7906,-0.0247728468217619
Argentina,ARG,América del Sur,Trigo,2019-01-01,158063,6.05,956805,107,2124,0.0281233049610894
Argentina,ARG,América del Sur,Soja,2020-01-01,7226711,2.54,18337419,209,3496,-0.0261455058111094
Argentina,ARG,América del Sur,Maíz,2020-01-01,2094642,6.53,13683934,246,7043,-0.0332210856632197
Argentina,ARG,América del Sur,Cebada,2020-01-01,1744383,5.01,8738359,129,2771,0.0078684732509243
Argentina,ARG,América del Sur,Té,2020-01-01,256100,1.7,435322,226,4978,-0.0398098694554023
Argentina,ARG,América del Sur,Algodón,2020-01-01,3457606,2.72,9410237,250,1672,-0.0152796234691551
Argentina,ARG,América del Sur,Girasol,2020-01-01,3163106,1.48,4684483,157,9031,-0.0394461129356001
Argentina,ARG,América del Sur,Café,2020-01-01,440698,2.01,886916,95,9548,0.0465473731238077
Argentina,ARG,América del Sur,Trigo,2020-01-01,4248426,7.19,30567194,201,5397,-0.0177695417018881
Brasil,BRA,América del Sur,Arroz,2011-01-01,1347714,4.38,5904963,137,5581,0.0380319979758225
Brasil,BRA,América del Sur,Soja,2011-01-01,2403160,3.3,7927168,111,7658,-0.0011422153151212
Brasil,BRA,América del Sur,Cebada,2011-01-01,1479338,4.45,6581725,54,2524,-0.0205764418679502
Brasil,BRA,América del Sur,Té,2011-01-01,128089,1.65,211558,185,6632,-0.0074496187294785
Brasil,BRA,América del Sur,Café,2011-01-01,177446,1.11,197465,109,2976,0.0221284331326069
Brasil,BRA,América del Sur,Algodón,2011-01-01,2243064,3.76,8438524,239,8933,-0.022350037303131
Brasil,BRA,América del Sur,Caña de azúcar,2011-01-01,8895477,125.62,1117450621,125,4727,-0.0139118930850613
Brasil,BRA,América del Sur,Girasol,2011-01-01,4468704,1.24,5553473,124,3068,0.0137869655105927
Brasil,BRA,América del Sur,Arroz,2012-01-01,455952,6.75,3078435,162,6582,-0.0315636329609918
Brasil,BRA,América del Sur,Soja,2012-01-01,7669673,3.11,23820326,175,2213,0.0077021156470818
Brasil,BRA,América del Sur,Cebada,2012-01-01,332518,2.92,969566,113,2940,0.0058073034617628
Brasil,BRA,América del Sur,Té,2012-01-01,119017,2.73,324561,126,8025,-0.0194619755680639
Brasil,BRA,América del Sur,Café,2012-01-01,327747,2.19,718560,210,4457,-0.0235353874709992
Brasil,BRA,América del Sur,Algodón,2012-01-01,979089,1.07,1051956,165,8699,-0.0208740710968972
Brasil,BRA,América del Sur,Caña de azúcar,2012-01-01,4673461,105.94,495101188,286,5334,0.0287828026646731
Brasil,BRA,América del Sur,Girasol,2012-01-01,1707210,2.5,4264818,282,5352,0.0326631159650059
Brasil,BRA,América del Sur,Arroz,2013-01-01,671704,7.26,4879482,285,5728,-0.0060846551326262
Brasil,BRA,América del Sur,Soja,2013-01-01,2627794,4.59,12063146,176,8172,-0.0419558148100699
Brasil,BRA,América del Sur,Cebada,2013-01-01,862695,4.53,3908034,108,1339,0.0499572416877451
Brasil,BRA,América del Sur,Té,2013-01-01,147671,2.15,317080,182,8245,0.0416072787926767
Brasil,BRA,América del Sur,Café,2013-01-01,297899,1.76,524747,170,6700,-0.0091651906569984
Brasil,BRA,América del Sur,Algodón,2013-01-01,438489,3.52,1544979,123,7561,0.0313566034737972
Brasil,BRA,América del Sur,Caña de azúcar,2013-01-01,7814033,52.04,406647504,247,7622,0.0364910584051879
Brasil,BRA,América del Sur,Girasol,2013-01-01,20934,2.79,58380,98,9494,-0.0138220640848324
Brasil,BRA,América del Sur,Arroz,2014-01-01,2825946,4.07,11488616,83,5719,-0.0061883904927621
Brasil,BRA,América del Sur,Soja,2014-01-01,1133776,2.93,3324660,231,3594,-0.0189249861606664
Brasil,BRA,América del Sur,Cebada,2014-01-01,796024,3.8,3026303,168,2924,0.0147709688783758
Brasil,BRA,América del Sur,Té,2014-01-01,146103,2.02,295000,300,8736,-0.0256269093924861
Brasil,BRA,América del Sur,Café,2014-01-01,208293,0.98,204949,84,2143,-0.0223752597177959
Brasil,BRA,América del Sur,Algodón,2014-01-01,1885571,2.09,3949811,50,5634,0.0226050982613532
Brasil,BRA,América del Sur,Caña de azúcar,2014-01-01,10620028,106.85,1134706673,187,8935,-0.0154876058306992
Brasil,BRA,América del Sur,Girasol,2014-01-01,4709021,2.94,13835122,228,4912,0.0071797641984901
Brasil,BRA,América del Sur,Arroz,2015-01-01,1661999,4.81,8001722,257,7246,-0.0113921247509017
Brasil,BRA,América del Sur,Soja,2015-01-01,7404309,3.73,27627853,82,9229,0.0465353590176853
Brasil,BRA,América del Sur,Cebada,2015-01-01,211840,5.47,1158588,166,1251,0.0222443827570642
Brasil,BRA,América del Sur,Té,2015-01-01,81632,1.19,97056,209,7512,0.0149836652579272
Brasil,BRA,América del Sur,Café,2015-01-01,500792,2.13,1066105,210,8994,0.0372383017398536
Brasil,BRA,América del Sur,Algodón,2015-01-01,266349,1.71,456333,108,2480,-0.0066028528076874
Brasil,BRA,América del Sur,Caña de azúcar,2015-01-01,1572151,104.64,164509104,61,6314,0.0296143465162211
Brasil,BRA,América del Sur,Girasol,2015-01-01,3071195,2.06,6338414,224,3950,-0.0330016350931902
Brasil,BRA,América del Sur,Arroz,2016-01-01,1465122,5.9,8647363,86,4804,-0.0038850086645002
Brasil,BRA,América del Sur,Soja,2016-01-01,2097553,4.4,9227256,123,9955,-0.0342024377928213
Brasil,BRA,América del Sur,Cebada,2016-01-01,738885,6.24,4608834,226,5097,-0.0043164187332213
Brasil,BRA,América del Sur,Té,2016-01-01,196325,2.2,431842,141,5847,0.0492692043626897
Brasil,BRA,América del Sur,Café,2016-01-01,422646,1.69,712279,225,1803,0.041061695371871
Brasil,BRA,América del Sur,Algodón,2016-01-01,1335715,3.24,4323554,106,4115,0.0120891163130304
Brasil,BRA,América del Sur,Caña de azúcar,2016-01-01,2503622,118.44,296529437,129,8222,-0.0466635468754367
Brasil,BRA,América del Sur,Girasol,2016-01-01,1100687,1.66,1823932,94,4289,-0.0367840202253216
Brasil,BRA,América del Sur,Arroz,2017-01-01,1621472,7.16,11615734,115,8894,0.0467384076166812
Brasil,BRA,América del Sur,Soja,2017-01-01,7085824,3.06,21694268,86,4696,0.0360140596898821
Brasil,BRA,América del Sur,Cebada,2017-01-01,938327,6.34,5945832,252,7464,-0.0486081344899098
Brasil,BRA,América del Sur,Té,2017-01-01,250595,1.77,444531,147,7086,-0.0391653897800769
Brasil,BRA,América del Sur,Café,2017-01-01,13318,1.94,25860,206,4626,0.0147652380639441
Brasil,BRA,América del Sur,Algodón,2017-01-01,2118922,3.34,7074498,85,1742,0.0446261532881946
Brasil,BRA,América del Sur,Caña de azúcar,2017-01-01,8001831,60.54,484412010,149,8432,-0.0128988484513117
Brasil,BRA,América del Sur,Girasol,2017-01-01,5490058,2.3,12621748,156,2622,0.0333693083296321
Brasil,BRA,América del Sur,Arroz,2018-01-01,1289325,3.82,4925107,293,4868,0.0355450193305954
Brasil,BRA,América del Sur,Soja,2018-01-01,5139802,3.92,20135347,65,7523,-0.0224118559138413
Brasil,BRA,América del Sur,Cebada,2018-01-01,2496445,5.63,14058098,214,1349,-0.0449421489337127
Brasil,BRA,América del Sur,Té,2018-01-01,64771,2.5,161609,191,4394,0.0086383083581561
Brasil,BRA,América del Sur,Café,2018-01-01,145039,1.11,161490,50,5542,0.0358406126380176
Brasil,BRA,América del Sur,Algodón,2018-01-01,496481,2.59,1286021,271,1422,-0.0368196770438102
Brasil,BRA,América del Sur,Caña de azúcar,2018-01-01,3935472,71.46,281213415,82,7897,0.0026085526597867
Brasil,BRA,América del Sur,Girasol,2018-01-01,4593482,2.33,10693279,165,9254,-0.0278450243581715
Brasil,BRA,América del Sur,Arroz,2019-01-01,3053967,6.23,19034059,65,8847,0.0347298543167242
Brasil,BRA,América del Sur,Soja,2019-01-01,967007,3.53,3416050,70,6277,0.0108297423633439
Brasil,BRA,América del Sur,Cebada,2019-01-01,499859,5.15,2576002,147,9692,-0.020510225405011
Brasil,BRA,América del Sur,Té,2019-01-01,237014,1.43,339438,216,4522,-0.0069930058333613
Brasil,BRA,América del Sur,Café,2019-01-01,270778,1.13,305118,74,6120,-0.0073235993739041
Brasil,BRA,América del Sur,Algodón,2019-01-01,1773095,4.12,7300286,73,2398,-0.0406769898296322
Brasil,BRA,América del Sur,Caña de azúcar,2019-01-01,5457022,114.04,622322406,193,6400,0.0170013264732295
Brasil,BRA,América del Sur,Girasol,2019-01-01,3575193,4.02,14362621,203,6119,-0.0148353814306851
Brasil,BRA,América del Sur,Arroz,2020-01-01,985848,4.89,4824901,139,7022,-0.0385114686469691
Brasil,BRA,América del Sur,Soja,2020-01-01,1832113,5.35,9800172,259,1430,0.0108994915553065
Brasil,BRA,América del Sur,Cebada,2020-01-01,1658739,3.18,5273227,129,6567,-0.0148976579263018
Brasil,BRA,América del Sur,Té,2020-01-01,67736,1.83,123819,212,1502,-0.0408242316945554
Brasil,BRA,América del Sur,Café,2020-01-01,211553,1.21,255028,234,6314,0.0276835619966741
Brasil,BRA,América del Sur,Algodón,2020-01-01,392781,3.39,1330504,62,2336,-0.0227897156453781
Brasil,BRA,América del Sur,Caña de azúcar,2020-01-01,9291726,85.17,791369186,181,2864,-0.0154827144519138
Brasil,BRA,América del Sur,Girasol,2020-01-01,4309998,2.28,9821497,151,1897,-0.0492312914100117
Estados Unidos,USA,América del Norte,Cebada,2011-01-01,1540777,3.45,5309930,108,9196,0.0058723567674712
Estados Unidos,USA,América del Norte,Arroz,2011-01-01,1515527,4.16,6310104,54,8532,0.0421162434502412
Estados Unidos,USA,América del Norte,Trigo,2011-01-01,4961874,4.59,22754122,124,2887,-0.0094967692935045
Estados Unidos,USA,América del Norte,Algodón,2011-01-01,746437,3.92,2925948,285,6928,-0.0411870118702115
Estados Unidos,USA,América del Norte,Caña de azúcar,2011-01-01,4183118,72.26,302252772,272,6083,0.0245804826464602
Estados Unidos,USA,América del Norte,Girasol,2011-01-01,1407727,1.76,2473119,99,6724,-0.0148900265042639
Estados Unidos,USA,América del Norte,Té,2011-01-01,80107,1.15,92080,204,3504,0.0260215295546892
Estados Unidos,USA,América del Norte,Maíz,2011-01-01,3111264,10.04,31248261,194,8354,0.0181133478314833
Estados Unidos,USA,América del Norte,Cebada,2012-01-01,1419480,5.5,7808116,210,6179,-0.0349042598606923
Estados Unidos,USA,América del Norte,Arroz,2012-01-01,1803411,6.77,12215610,140,9312,-0.0425809343826712
Estados Unidos,USA,América del Norte,Trigo,2012-01-01,337546,2.32,781498,271,2479,0.0115008388415573
Estados Unidos,USA,América del Norte,Algodón,2012-01-01,1966641,3.47,6826536,60,8368,0.0409049956573664
Estados Unidos,USA,América del Norte,Caña de azúcar,2012-01-01,3222750,70.29,226541491,65,8381,-0.0396498122729608
Estados Unidos,USA,América del Norte,Girasol,2012-01-01,3037060,3.02,9157720,60,5059,0.0207621704323278
Estados Unidos,USA,América del Norte,Té,2012-01-01,291769,1.7,495688,122,7347,-0.0091230602752679
Estados Unidos,USA,América del Norte,Maíz,2012-01-01,972525,7.85,7635622,74,7333,-0.0215853026121886
Estados Unidos,USA,América del Norte,Cebada,2013-01-01,1450111,5.48,7939678,70,3317,0.041674645505712
Estados Unidos,USA,América del Norte,Arroz,2013-01-01,2724671,6.0,16343391,290,2388,-0.0190418112584039
Estados Unidos,USA,América del Norte,Trigo,2013-01-01,2765763,8.07,22326033,239,9624,-0.0406547034933978
Estados Unidos,USA,América del Norte,Algodón,2013-01-01,2225658,1.78,3965714,104,6598,0.0447668267534346
Estados Unidos,USA,América del Norte,Caña de azúcar,2013-01-01,3860287,97.1,374831609,251,2657,0.0007689712724646
Estados Unidos,USA,América del Norte,Girasol,2013-01-01,4520329,1.59,7188568,83,7172,-0.0345747238678878
Estados Unidos,USA,América del Norte,Té,2013-01-01,84451,1.92,161748,234,4891,0.0469588603408624
Estados Unidos,USA,América del Norte,Maíz,2013-01-01,7875390,4.73,37284991,250,8684,0.0403974338137458
Estados Unidos,USA,América del Norte,Cebada,2014-01-01,1369605,6.86,9398163,122,7256,0.0002906691487578
Estados Unidos,USA,América del Norte,Arroz,2014-01-01,692298,6.44,4461103,114,1854,0.0141179036204447
Estados Unidos,USA,América del Norte,Trigo,2014-01-01,5130825,8.29,42525703,81,5670,-0.0416124874628209
Estados Unidos,USA,América del Norte,Algodón,2014-01-01,1800614,3.13,5639302,292,4637,0.03167032558555
Estados Unidos,USA,América del Norte,Caña de azúcar,2014-01-01,503427,78.3,39418652,148,2337,-0.0125087326582232
Estados Unidos,USA,América del Norte,Girasol,2014-01-01,780340,3.66,2858777,85,1627,-0.0213120602686731
Estados Unidos,USA,América del Norte,Té,2014-01-01,79770,2.57,205217,281,2298,-0.0480996115089029
Estados Unidos,USA,América del Norte,Maíz,2014-01-01,2513669,7.53,18917053,78,5720,-0.0262359773359066
Estados Unidos,USA,América del Norte,Cebada,2015-01-01,470886,4.38,2061988,78,9189,0.0096739042818946
Estados Unidos,USA,América del Norte,Arroz,2015-01-01,1971236,5.84,11503705,50,6780,-0.0259435761193456
Estados Unidos,USA,América del Norte,Trigo,2015-01-01,741243,5.51,4087613,189,9312,0.0286412335845317
Estados Unidos,USA,América del Norte,Algodón,2015-01-01,92743,2.23,207071,145,5155,0.0247316591562645
Estados Unidos,USA,América del Norte,Caña de azúcar,2015-01-01,1131248,91.6,103622663,247,6447,-0.0366590410140636
Estados Unidos,USA,América del Norte,Girasol,2015-01-01,2816115,2.95,8303171,168,8840,0.0131735847758337
Estados Unidos,USA,América del Norte,Té,2015-01-01,37181,2.47,91683,101,1717,0.0291109213229043
Estados Unidos,USA,América del Norte,Maíz,2015-01-01,6082617,11.0,66907564,189,8756,-0.0246686234797382
Estados Unidos,USA,América del Norte,Cebada,2016-01-01,450723,3.46,1561657,217,6438,-0.0226783393886126
Estados Unidos,USA,América del Norte,Arroz,2016-01-01,2074784,8.18,16979569,148,6554,0.0473723584315309
Estados Unidos,USA,América del Norte,Trigo,2016-01-01,4316022,4.37,18881779,71,7955,-0.0421072993944532
Estados Unidos,USA,América del Norte,Algodón,2016-01-01,809350,2.14,1731601,219,5843,-0.0193504143909247
Estados Unidos,USA,América del Norte,Caña de azúcar,2016-01-01,7605385,67.34,512167955,236,6776,0.0114851482198764
Estados Unidos,USA,América del Norte,Girasol,2016-01-01,496324,1.67,828592,255,3621,0.0452789396279607
Estados Unidos,USA,América del Norte,Té,2016-01-01,213023,0.96,204149,143,6933,-0.0117145598311222
Estados Unidos,USA,América del Norte,Maíz,2016-01-01,2811278,8.79,24723101,245,2259,0.0073921778333895
Estados Unidos,USA,América del Norte,Cebada,2017-01-01,878533,3.74,3281328,56,4048,-9.560397435331992e-05
Estados Unidos,USA,América del Norte,Arroz,2017-01-01,2355072,5.13,12076480,104,5678,0.0193980641040793
Estados Unidos,USA,América del Norte,Trigo,2017-01-01,2088849,3.08,6427423,280,8292,0.0497262404023041
Estados Unidos,USA,América del Norte,Algodón,2017-01-01,1551080,3.3,5124906,124,5914,0.0351362050753125
Estados Unidos,USA,América del Norte,Caña de azúcar,2017-01-01,3265959,95.73,312653511,101,3275,-0.0263263815713129
Estados Unidos,USA,América del Norte,Girasol,2017-01-01,3138794,2.7,8463505,191,3126,0.011194836262052
Estados Unidos,USA,América del Norte,Té,2017-01-01,145612,1.94,282443,155,7708,0.032333939950839
Estados Unidos,USA,América del Norte,Maíz,2017-01-01,4829549,7.74,37396696,138,3102,0.0377960151650411
Estados Unidos,USA,América del Norte,Cebada,2018-01-01,1565754,4.48,7020665,178,1907,0.0331390806467541
Estados Unidos,USA,América del Norte,Arroz,2018-01-01,1347592,4.44,5979789,138,9501,0.0394925916821124
Estados Unidos,USA,América del Norte,Trigo,2018-01-01,2531674,3.5,8870010,210,5961,0.0114428278308198
Estados Unidos,USA,América del Norte,Algodón,2018-01-01,2380383,1.59,3780271,218,6531,0.0342530004113389
Estados Unidos,USA,América del Norte,Caña de azúcar,2018-01-01,518763,82.73,42919275,117,4453,0.0266959000916311
Estados Unidos,USA,América del Norte,Girasol,2018-01-01,265813,2.46,653243,294,5949,-0.001705518182458
Estados Unidos,USA,América del Norte,Té,2018-01-01,250502,1.15,287538,162,7809,-0.001574886989264
Estados Unidos,USA,América del Norte,Maíz,2018-01-01,2320189,6.04,14008334,270,6658,0.047537412791488
Estados Unidos,USA,América del Norte,Cebada,2019-01-01,692271,3.34,2314849,81,5382,-0.0050403988004335
Estados Unidos,USA,América del Norte,Arroz,2019-01-01,197640,4.81,949799,113,3616,0.0313477846439449
Estados Unidos,USA,América del Norte,Trigo,2019-01-01,3350284,3.11,10435086,169,9171,0.0379075663600418
Estados Unidos,USA,América del Norte,Algodón,2019-01-01,399791,4.38,1751980,105,6781,-0.0451341867070344
Estados Unidos,USA,América del Norte,Caña de azúcar,2019-01-01,7492961,54.67,409650994,84,5333,0.0227508063359391
Estados Unidos,USA,América del Norte,Girasol,2019-01-01,3622258,1.33,4814466,142,5728,-0.0426468250257158
Estados Unidos,USA,América del Norte,Té,2019-01-01,302617,1.97,594773,80,3108,0.0475082815413784
Estados Unidos,USA,América del Norte,Maíz,2019-01-01,5773045,5.84,33693619,204,9341,-0.0098612915723935
Estados Unidos,USA,América del Norte,Cebada,2020-01-01,72231,2.76,199266,166,3440,0.0106260522403804
Estados Unidos,USA,América del Norte,Arroz,2020-01-01,1467721,6.1,8951028,207,5902,0.0093724655630986
Estados Unidos,USA,América del Norte,Trigo,2020-01-01,4531938,5.29,23972607,258,1272,-0.013164219013423
Estados Unidos,USA,América del Norte,Algodón,2020-01-01,2007293,3.29,6595382,226,1436,0.0096909615953193
Estados Unidos,USA,América del Norte,Caña de azúcar,2020-01-01,9081402,105.62,959203855,93,9589,0.0129025241145363
Estados Unidos,USA,América del Norte,Girasol,2020-01-01,3568661,1.65,5905368,292,2800,-0.0309215672173072
Estados Unidos,USA,América del Norte,Té,2020-01-01,224618,1.36,306478,248,8726,0.037281770891232
Estados Unidos,USA,América del Norte,Maíz,2020-01-01,1352354,8.15,11016129,219,8837,0.0025477151400035
India,IND,Asia,Girasol,2011-01-01,2269062,2.2,5000849,192,5890,-0.0275132962007183
India,IND,Asia,Trigo,2011-01-01,2588659,7.58,19620529,175,6194,-0.0020196576797938
India,IND,Asia,Caña de azúcar,2011-01-01,4634750,80.57,373416731,279,7464,0.0318377460130562
India,IND,Asia,Cebada,2011-01-01,1739332,2.8,4864842,70,6674,0.042400963188988
India,IND,Asia,Café,2011-01-01,397847,1.3,516902,288,5450,-0.0362727045199077
India,IND,Asia,Algodón,2011-01-01,2492941,1.58,3939970,107,4814,-0.0447508893160537
India,IND,Asia,Té,2011-01-01,248340,1.13,281510,190,3587,-0.0093092548453116
India,IND,Asia,Arroz,2011-01-01,2058871,5.44,11209388,132,5676,0.0145897917890269
India,IND,Asia,Girasol,2012-01-01,799566,2.68,2145640,267,1611,0.0413229725669852
India,IND,Asia,Trigo,2012-01-01,1461191,6.82,9962430,251,9116,-0.0313688368077511
India,IND,Asia,Caña de azúcar,2012-01-01,5037771,92.35,465219356,77,6489,-0.0215438347649953
India,IND,Asia,Cebada,2012-01-01,1212791,4.46,5409411,179,8668,-0.0227162918502007
India,IND,Asia,Café,2012-01-01,181574,0.75,136605,97,1230,0.0236617895492256
India,IND,Asia,Algodón,2012-01-01,2480612,2.74,6797942,213,7643,0.0326989825276309
India,IND,Asia,Té,2012-01-01,46506,1.73,80375,172,6301,0.0435825387001388
India,IND,Asia,Arroz,2012-01-01,1555805,5.89,9164387,127,1187,-0.0238446849184607
India,IND,Asia,Girasol,2013-01-01,1980186,1.3,2567206,153,9233,0.0423106013947117
India,IND,Asia,Trigo,2013-01-01,2825741,7.34,20739361,144,4618,-0.0280871399064656
India,IND,Asia,Caña de azúcar,2013-01-01,2478284,100.41,248848979,229,9998,0.0412796888283104
India,IND,Asia,Cebada,2013-01-01,1778952,3.96,7038627,243,2341,0.0025506656220167
India,IND,Asia,Café,2013-01-01,194368,0.58,113619,190,9281,-0.0297843221033352
India,IND,Asia,Algodón,2013-01-01,709464,1.77,1255882,102,9008,-0.0409058355548312
