pais,anio_num,cultivo,produccion,rendimiento,superficie
Argentina,2011,Girasol,1436089,3.59,400408
Argentina,2011,Maíz,28485921,8.45,3371781
Argentina,2011,Soja,10465461,2.22,4703643
Argentina,2011,Trigo,3294702,5.25,627742
Argentina,2011,Té,577886,3.07,188518
Argentina,2012,Algodón,2125899,3.14,676195
Argentina,2012,Café,255495,1.79,142829
Argentina,2012,Cebada,9791625,5.21,1878820
Argentina,2012,Girasol,10930665,2.32,4717670
Argentina,2012,Maíz,28032958,5.4,5195860
Argentina,2012,Soja,18722616,3.26,5742860
Argentina,2012,Trigo,19961382,8.67,2301854
Argentina,2012,Té,393950,1.84,213792
Argentina,2013,Algodón,5338042,1.7,3134608
Argentina,2013,Café,617863,1.76,350614
Argentina,2013,Cebada,5634708,4.83,1166539
Argentina,2013,Girasol,1472007,1.41,1043240
Argentina,2013,Maíz,34977816,4.09,8547523
Argentina,2013,Soja,5478586,3.14,1746490
Argentina,2013,Trigo,12652195,3.17,3993322
Argentina,2013,Té,605567,2.53,239649
Argentina,2014,Algodón,1876140,2.44,767759
Argentina,2014,Café,56187,1.81,31012
Argentina,2014,Cebada,1029879,3.35,307216
Argentina,2014,Girasol,6761835,2.23,3031400
Argentina,2014,Maíz,7615290,4.07,1869306
Argentina,2014,Soja,8318994,2.37,3515508
Argentina,2014,Trigo,13923967,3.05,4568180
Argentina,2014,Té,406569,1.28,316633
Argentina,2015,Algodón,2321417,2.0,1159474
Argentina,2015,Café,128997,2.24,57537
Argentina,2015,Cebada,7455970,5.28,1412147
Argentina,2015,Girasol,8249296,1.61,5139424
Argentina,2015,Maíz,59471302,5.98,9940032
Argentina,2015,Soja,8606247,3.97,2166107
Argentina,2015,Trigo,10818005,5.09,2126877
Argentina,2015,Té,708453,2.27,312383
Argentina,2016,Algodón,5178909,4.68,1107254
Argentina,2016,Café,66169,1.02,64708
Argentina,2016,Cebada,5186979,3.72,1395478
Argentina,2016,Girasol,9604766,3.11,3091090
Argentina,2016,Maíz,50489823,6.63,7612796
Argentina,2016,Soja,1379775,2.89,476888
Argentina,2016,Trigo,7525604,3.44,2185758
Argentina,2016,Té,277394,2.24,124017
Argentina,2017,Algodón,10287257,4.14,2484154
Argentina,2017,Café,668055,1.73,385154
Argentina,2017,Cebada,4716454,4.48,1052089
Argentina,2017,Girasol,5664213,1.88,3013252
Argentina,2017,Maíz,27375849,7.26,3769397
Argentina,2017,Soja,21656516,4.16,5205491
Argentina,2017,Trigo,13314441,4.28,3112871
Argentina,2017,Té,3729,2.42,1542
Argentina,2018,Algodón,1526116,2.79,547283
Argentina,2018,Café,1002924,1.98,507390
Argentina,2018,Cebada,5030855,3.42,1469060
Argentina,2018,Girasol,13875282,2.69,5154094
Argentina,2018,Maíz,12117610,3.78,3206769
Argentina,2018,Soja,20666579,3.85,5362866
Argentina,2018,Trigo,7551720,3.56,2122111
Argentina,2018,Té,119051,2.48,48076
Argentina,2019,Algodón,3917824,4.71,832592
Argentina,2019,Café,284510,1.23,231679
Argentina,2019,Cebada,5350442,6.66,803243
Argentina,2019,Girasol,465199,1.8,258647
Argentina,2019,Maíz,47122614,7.19,6550902
Argentina,2019,Soja,4151744,3.14,1321690
Argentina,2019,Trigo,956805,6.05,158063
Argentina,2019,Té,221839,1.79,123988
Argentina,2020,Algodón,9410237,2.72,3457606
Argentina,2020,Café,886916,2.01,440698
Argentina,2020,Cebada,8738359,5.01,1744383
Argentina,2020,Girasol,4684483,1.48,3163106
Argentina,2020,Maíz,13683934,6.53,2094642
Argentina,2020,Soja,18337419,2.54,7226711
Argentina,2020,Trigo,30567194,7.19,4248426
Argentina,2020,Té,435322,1.7,256100
Australia,2011,Algodón,3434095,1.56,2206270
Australia,2011,Arroz,12587131,8.72,1443327
Australia,2011,Café,237431,0.77,308199
Australia,2011,Caña de azúcar,137447283,137.24,1001514
Australia,2011,Maíz,20872562,3.36,6219497
Australia,2011,Soja,18596653,2.39,7768365
Australia,2011,Trigo,2391721,7.22,331327
Australia,2011,Té,903477,3.03,298424
Australia,2012,Algodón,2466599,2.55,965820
Australia,2012,Arroz,10965687,6.69,1637896
Australia,2012,Café,270418,1.02,264359
Australia,2012,Caña de azúcar,1008690861,129.56,7785219
Australia,2012,Maíz,18126940,4.17,4343656
Australia,2012,Soja,23642897,3.13,7542892
Australia,2012,Trigo,32833009,8.64,3799806
Australia,2012,Té,275627,2.21,124867
Australia,2013,Algodón,4563957,2.19,2088403
Australia,2013,Arroz,19014294,6.56,2899474
Australia,2013,Café,159783,1.41,113037
Australia,2013,Caña de azúcar,592355399,64.46,9189700
Australia,2013,Maíz,16004714,3.63,4407390
Australia,2013,Soja,27191660,4.15,6556473
Australia,2013,Trigo,15721855,3.35,4696449
Australia,2013,Té,385360,3.12,123454
Australia,2014,Algodón,5752139,3.88,1481058
Australia,2014,Arroz,7632147,3.92,1944988
Australia,2014,Café,936963,2.89,324723
Australia,2014,Caña de azúcar,384067874,72.59,5290671
Australia,2014,Maíz,37455534,5.73,6531813
Australia,2014,Soja,8907871,3.97,2244285
Australia,2014,Trigo,7136735,2.05,3476318
Australia,2014,Té,445691,2.01,221894
Australia,2015,Algodón,3031396,1.62,1870001
Australia,2015,Arroz,2731135,4.24,644651
Australia,2015,Café,643167,1.17,551740
Australia,2015,Caña de azúcar,586170421,96.56,6070506
Australia,2015,Maíz,2222163,3.44,645706
Australia,2015,Soja,2279595,2.97,767198
Australia,2015,Trigo,2172736,2.75,790265
Australia,2015,Té,620520,1.99,311112
Australia,2016,Algodón,700214,2.19,319480
Australia,2016,Arroz,2071352,6.68,309920
Australia,2016,Café,274886,1.79,153319
Australia,2016,Caña de azúcar,729636360,82.6,8832950
Australia,2016,Maíz,31052695,6.08,5105162
Australia,2016,Soja,5344128,3.21,1665701
Australia,2016,Trigo,750978,7.6,98864
Australia,2016,Té,62991,1.31,48267
Australia,2017,Algodón,6379282,2.56,2491618
Australia,2017,Arroz,11413814,3.53,3233693
Australia,2017,Café,1078436,2.01,537136
Australia,2017,Caña de azúcar,802401871,111.25,7212487
Australia,2017,Maíz,5509992,7.43,741939
Australia,2017,Soja,12126289,2.03,5977275
Australia,2017,Trigo,10707457,6.4,1672722
Australia,2017,Té,132919,1.83,72491
Australia,2018,Algodón,3869012,1.57,2469121
Australia,2018,Arroz,1850286,4.68,395530
Australia,2018,Café,16905,1.7,9920
Australia,2018,Caña de azúcar,146301161,65.01,2250318
Australia,2018,Maíz,40163584,8.76,4585426
Australia,2018,Soja,2656622,2.47,1074815
Australia,2018,Trigo,35636625,8.1,4398023
Australia,2018,Té,344172,1.6,215254
Australia,2019,Algodón,6853810,3.36,2039407
Australia,2019,Arroz,9620926,6.56,1467167
Australia,2019,Café,532358,2.11,251721
Australia,2019,Caña de azúcar,982789345,129.82,7570554
Australia,2019,Maíz,19077011,3.16,6035115
Australia,2019,Soja,14435410,3.15,4581573
Australia,2019,Trigo,18164468,3.45,5260492
Australia,2019,Té,550306,2.48,221563
Australia,2020,Algodón,3822656,3.16,1208438
Australia,2020,Arroz,13449986,6.23,2159860
Australia,2020,Café,255485,0.85,301214
Australia,2020,Caña de azúcar,73355784,124.19,590686
Australia,2020,Maíz,71978243,7.04,10226132
Australia,2020,Soja,24994058,4.25,5879312
Australia,2020,Trigo,9159527,4.65,1968130
Australia,2020,Té,92174,2.47,37384
Brasil,2011,Algodón,8438524,3.76,2243064
Brasil,2011,Arroz,5904963,4.38,1347714
Brasil,2011,Café,197465,1.11,177446
Brasil,2011,Caña de azúcar,1117450621,125.62,8895477
Brasil,2011,Cebada,6581725,4.45,1479338
Brasil,2011,Girasol,5553473,1.24,4468704
Brasil,2011,Soja,7927168,3.3,2403160
Brasil,2011,Té,211558,1.65,128089
Brasil,2012,Algodón,1051956,1.07,979089
Brasil,2012,Arroz,3078435,6.75,455952
Brasil,2012,Café,718560,2.19,327747
Brasil,2012,Caña de azúcar,495101188,105.94,4673461
Brasil,2012,Cebada,969566,2.92,332518
Brasil,2012,Girasol,4264818,2.5,1707210
Brasil,2012,Soja,23820326,3.11,7669673
Brasil,2012,Té,324561,2.73,119017
Brasil,2013,Algodón,1544979,3.52,438489
Brasil,2013,Arroz,4879482,7.26,671704
Brasil,2013,Café,524747,1.76,297899
Brasil,2013,Caña de azúcar,406647504,52.04,7814033
Brasil,2013,Cebada,3908034,4.53,862695
Brasil,2013,Girasol,58380,2.79,20934
Brasil,2013,Soja,12063146,4.59,2627794
Brasil,2013,Té,317080,2.15,147671
Brasil,2014,Algodón,3949811,2.09,1885571
Brasil,2014,Arroz,11488616,4.07,2825946
Brasil,2014,Café,204949,0.98,208293
Brasil,2014,Caña de azúcar,1134706673,106.85,10620028
Brasil,2014,Cebada,3026303,3.8,796024
Brasil,2014,Girasol,13835122,2.94,4709021
Brasil,2014,Soja,3324660,2.93,1133776
Brasil,2014,Té,295000,2.02,146103
Brasil,2015,Algodón,456333,1.71,266349
Brasil,2015,Arroz,8001722,4.81,1661999
Brasil,2015,Café,1066105,2.13,500792
Brasil,2015,Caña de azúcar,164509104,104.64,1572151
Brasil,2015,Cebada,1158588,5.47,211840
Brasil,2015,Girasol,6338414,2.06,3071195
Brasil,2015,Soja,27627853,3.73,7404309
Brasil,2015,Té,97056,1.19,81632
Brasil,2016,Algodón,4323554,3.24,1335715
Brasil,2016,Arroz,8647363,5.9,1465122
Brasil,2016,Café,712279,1.69,422646
Brasil,2016,Caña de azúcar,296529437,118.44,2503622
Brasil,2016,Cebada,4608834,6.24,738885
Brasil,2016,Girasol,1823932,1.66,1100687
Brasil,2016,Soja,9227256,4.4,2097553
Brasil,2016,Té,431842,2.2,196325
Brasil,2017,Algodón,7074498,3.34,2118922
Brasil,2017,Arroz,11615734,7.16,1621472
Brasil,2017,Café,25860,1.94,13318
Brasil,2017,Caña de azúcar,484412010,60.54,8001831
Brasil,2017,Cebada,5945832,6.34,938327
Brasil,2017,Girasol,12621748,2.3,5490058
Brasil,2017,Soja,21694268,3.06,7085824
Brasil,2017,Té,444531,1.77,250595
Brasil,2018,Algodón,1286021,2.59,496481
Brasil,2018,Arroz,4925107,3.82,1289325
Brasil,2018,Café,161490,1.11,145039
Brasil,2018,Caña de azúcar,281213415,71.46,3935472
Brasil,2018,Cebada,14058098,5.63,2496445
Brasil,2018,Girasol,10693279,2.33,4593482
Brasil,2018,Soja,20135347,3.92,5139802
Brasil,2018,Té,161609,2.5,64771
Brasil,2019,Algodón,7300286,4.12,1773095
Brasil,2019,Arroz,19034059,6.23,3053967
Brasil,2019,Café,305118,1.13,270778
Brasil,2019,Caña de azúcar,622322406,114.04,5457022
Brasil,2019,Cebada,2576002,5.15,499859
Brasil,2019,Girasol,14362621,4.02,3575193
Brasil,2019,Soja,3416050,3.53,967007
Brasil,2019,Té,339438,1.43,237014
Brasil,2020,Algodón,1330504,3.39,392781
Brasil,2020,Arroz,4824901,4.89,985848
Brasil,2020,Café,255028,1.21,211553
Brasil,2020,Caña de azúcar,791369186,85.17,9291726
Brasil,2020,Cebada,5273227,3.18,1658739
Brasil,2020,Girasol,9821497,2.28,4309998
Brasil,2020,Soja,9800172,5.35,1832113
Brasil,2020,Té,123819,1.83,67736
Canadá,2011,Algodón,2930799,1.62,1804515
Canadá,2011,Café,1011734,2.07,488857
Canadá,2011,Cebada,605290,2.79,216943
Canadá,2011,Girasol,11664945,2.51,4646518
Canadá,2011,Maíz,56940759,8.24,6908813
Canadá,2011,Soja,25856568,4.13,6254032
Canadá,2011,Trigo,11537269,3.35,3447014
Canadá,2011,Té,649630,2.62,248132
Canadá,2012,Algodón,678713,2.3,295712
Canadá,2012,Café,622440,1.71,364301
Canadá,2012,Cebada,6979736,4.4,1587445
Canadá,2012,Girasol,4968786,1.54,3222852
Canadá,2012,Maíz,9651947,3.27,2947701
Canadá,2012,Soja,3690568,3.15,1172792
Canadá,2012,Trigo,11062828,3.47,3191974
Canadá,2012,Té,170649,1.86,91662
Canadá,2013,Algodón,2312470,1.76,1312605
Canadá,2013,Café,752743,2.04,368100
Canadá,2013,Cebada,2293734,3.77,607890
Canadá,2013,Girasol,10237643,2.71,3773612
Canadá,2013,Maíz,46479474,6.54,7108726
Canadá,2013,Soja,13495623,4.92,2744901
Canadá,2013,Trigo,15492159,7.04,2201505
Canadá,2013,Té,318827,2.93,108779
Canadá,2014,Algodón,273060,0.73,375914
Canadá,2014,Café,357286,0.82,433122
Canadá,2014,Cebada,1015564,4.47,226944
Canadá,2014,Girasol,323502,2.1,154263
Canadá,2014,Maíz,1941216,6.38,304039
Canadá,2014,Soja,16389617,3.14,5216721
Canadá,2014,Trigo,29350961,7.67,3827883
Canadá,2014,Té,47624,1.73,27470
Canadá,2015,Algodón,5644196,2.53,2232604
Canadá,2015,Café,325610,0.65,497211
Canadá,2015,Cebada,5976615,3.39,1764281
Canadá,2015,Girasol,3401053,1.92,1771021
Canadá,2015,Maíz,47335093,9.6,4929105
Canadá,2015,Soja,5012555,2.49,2013556
Canadá,2015,Trigo,20139124,3.69,5454388
Canadá,2015,Té,158122,1.96,80829
Canadá,2016,Algodón,1851895,1.28,1444532
Canadá,2016,Café,362132,1.03,352323
Canadá,2016,Cebada,1977265,3.18,622268
Canadá,2016,Girasol,411687,2.04,201865
Canadá,2016,Maíz,42338156,8.51,4973395
Canadá,2016,Soja,7026224,3.01,2332563
Canadá,2016,Trigo,179034,2.7,66221
Canadá,2016,Té,235569,2.8,84271
Canadá,2017,Algodón,3792750,3.48,1089370
Canadá,2017,Café,69796,2.26,30906
Canadá,2017,Cebada,3490854,4.07,857573
Canadá,2017,Girasol,6783722,2.29,2958416
Canadá,2017,Maíz,31530256,4.34,7266389
Canadá,2017,Soja,20887374,2.91,7167439
Canadá,2017,Trigo,34298955,10.14,3383017
Canadá,2017,Té,68722,1.67,41157
Canadá,2018,Algodón,5961916,2.93,2038137
Canadá,2018,Café,153991,1.3,118266
Canadá,2018,Cebada,6624671,4.24,1564230
Canadá,2018,Girasol,9965710,2.66,3746391
Canadá,2018,Maíz,33103476,5.01,6608737
Canadá,2018,Soja,5669552,3.56,1594394
Canadá,2018,Trigo,2601509,2.98,873956
Canadá,2018,Té,335768,1.73,193737
Canadá,2019,Algodón,590178,1.12,524740
Canadá,2019,Café,308162,1.25,246254
Canadá,2019,Cebada,1779861,5.35,332542
Canadá,2019,Girasol,10124173,2.11,4796083
Canadá,2019,Maíz,80315674,6.36,12630627
Canadá,2019,Soja,4177444,3.44,1213285
Canadá,2019,Trigo,16964164,7.14,2374527
Canadá,2019,Té,670267,3.25,206128
Canadá,2020,Algodón,332256,1.94,170885
Canadá,2020,Café,628964,2.69,233432
Canadá,2020,Cebada,4437110,3.9,1139023
Canadá,2020,Girasol,2251330,2.92,769815
Canadá,2020,Maíz,32617556,10.2,3198070
Canadá,2020,Soja,2176149,5.12,425259
Canadá,2020,Trigo,3255965,4.13,788131
Canadá,2020,Té,115303,1.84,62577
China,2011,Arroz,4021333,4.59,875165
China,2011,Café,87822,0.9,97729
China,2011,Caña de azúcar,98033799,50.76,1931131
China,2011,Cebada,4155217,3.27,1271965
China,2011,Girasol,130884,2.76,47398
China,2011,Soja,12261231,2.64,4644712
China,2011,Trigo,11851403,2.68,4422500
China,2011,Té,347464,1.33,261190
China,2012,Arroz,9122751,5.96,1531472
China,2012,Café,481415,2.43,198173
China,2012,Caña de azúcar,1125569194,123.63,9104123
China,2012,Cebada,953002,4.01,237546
China,2012,Girasol,8797410,2.05,4292269
China,2012,Soja,7263071,2.99,2428440
China,2012,Trigo,21237643,8.2,2590284
China,2012,Té,503866,3.09,162985
China,2013,Arroz,9951397,4.8,2071946
China,2013,Café,182249,1.08,168227
China,2013,Caña de azúcar,1154381363,119.82,9634196
China,2013,Cebada,776624,4.77,162761
China,2013,Girasol,16177539,4.43,3647762
China,2013,Soja,24173528,3.3,7331881
China,2013,Trigo,13186433,7.09,1859291
China,2013,Té,318873,2.75,115793
China,2014,Arroz,21385952,7.56,2828444
China,2014,Café,117115,1.26,93062
China,2014,Caña de azúcar,740438928,81.92,9038849
China,2014,Cebada,1305275,4.54,287667
China,2014,Girasol,3153321,1.39,2263661
China,2014,Soja,23418954,3.65,6421797
China,2014,Trigo,20759381,7.03,2953369
China,2014,Té,603049,2.3,262525
China,2015,Arroz,6608017,5.27,1254940
China,2015,Café,260308,0.62,418815
China,2015,Caña de azúcar,281215400,97.71,2878085
China,2015,Cebada,4791882,5.45,878914
China,2015,Girasol,4932350,1.81,2730337
China,2015,Soja,28692208,3.89,7377577
China,2015,Trigo,4241102,2.28,1861984
China,2015,Té,557752,2.17,256520
China,2016,Arroz,1452861,6.15,236390
China,2016,Café,444941,0.99,449818
China,2016,Caña de azúcar,464169709,68.19,6807040
China,2016,Cebada,4731015,2.72,1737707
China,2016,Girasol,2669201,2.0,1336372
China,2016,Soja,24730989,3.6,6866178
China,2016,Trigo,11433534,6.41,1782936
China,2016,Té,741964,2.76,269207
China,2017,Arroz,2653907,6.32,419700
China,2017,Café,168072,0.83,201664
China,2017,Caña de azúcar,18047536,71.24,253342
China,2017,Cebada,7910729,7.12,1111442
China,2017,Girasol,1269114,2.79,454724
China,2017,Soja,397037,3.22,123256
China,2017,Trigo,42279937,7.75,5456740
China,2017,Té,75435,1.73,43503
China,2018,Arroz,12466890,5.29,2355408
China,2018,Café,563765,1.81,310620
China,2018,Caña de azúcar,96897113,94.72,1022944
China,2018,Cebada,3305596,4.89,675906
China,2018,Girasol,9590952,3.0,3195579
China,2018,Soja,18301075,3.01,6089943
China,2018,Trigo,17641712,5.35,3298526
China,2018,Té,24383,1.52,16083
China,2019,Arroz,6896976,4.0,1725992
China,2019,Café,283947,0.71,400731
China,2019,Caña de azúcar,636724571,83.65,7611704
China,2019,Cebada,820195,2.54,323320
China,2019,Girasol,4313175,1.78,2427346
China,2019,Soja,899069,3.03,296646
China,2019,Trigo,4888424,3.02,1616415
China,2019,Té,473306,2.47,191851
China,2020,Arroz,25412303,8.28,3069096
China,2020,Café,321465,1.08,296959
China,2020,Caña de azúcar,771463505,77.85,9910030
China,2020,Cebada,9286449,7.22,1286586
China,2020,Girasol,21667266,3.42,6340629
China,2020,Soja,28902024,3.85,7497946
China,2020,Trigo,8267307,2.84,2912319
China,2020,Té,38266,1.09,35001
España,2011,Algodón,1800037,1.75,1029912
España,2011,Café,520803,1.04,499923
España,2011,Caña de azúcar,352841935,68.0,5189050
España,2011,Cebada,4005004,7.65,523578
España,2011,Girasol,532208,2.79,190718
España,2011,Soja,13910301,2.81,4958537
España,2011,Trigo,36372900,7.96,4571438
España,2011,Té,295658,2.3,128356
España,2012,Algodón,3332074,2.41,1383355
España,2012,Café,562544,1.27,442584
España,2012,Caña de azúcar,1052068524,116.51,9030235
España,2012,Cebada,7596495,5.43,1399366
España,2012,Girasol,5595642,2.07,2702341
España,2012,Soja,11225449,3.7,3033586
España,2012,Trigo,13290706,3.88,3426994
España,2012,Té,447903,2.05,218480
España,2013,Algodón,4273848,2.55,1676763
España,2013,Café,225795,0.78,288226
España,2013,Caña de azúcar,72645118,80.24,905293
España,2013,Cebada,912819,3.24,281992
España,2013,Girasol,2749791,1.86,1475435
España,2013,Soja,7478750,3.81,1960535
España,2013,Trigo,25781762,7.06,3652371
España,2013,Té,110379,1.19,93057
España,2014,Algodón,1268119,1.38,921293
España,2014,Café,354906,1.38,257777
España,2014,Caña de azúcar,170771929,62.69,2723853
España,2014,Cebada,3737635,5.63,663839
España,2014,Girasol,3867404,2.75,1403984
España,2014,Soja,4466223,1.99,2249195
España,2014,Trigo,10344364,2.25,4600345
España,2014,Té,302134,1.48,204440
España,2015,Algodón,5496897,2.22,2475291
España,2015,Café,481027,2.1,228848
España,2015,Caña de azúcar,550857166,104.68,5262490
España,2015,Cebada,8265552,5.13,1612170
España,2015,Girasol,8757623,2.51,3483451
España,2015,Soja,18161874,2.94,6176236
España,2015,Trigo,15355034,7.83,1961350
España,2015,Té,968532,2.95,328401
España,2016,Algodón,618034,3.11,198835
España,2016,Café,570016,1.19,477860
España,2016,Caña de azúcar,514502307,59.79,8604745
España,2016,Cebada,5100699,3.16,1616655
España,2016,Girasol,10748575,2.65,4061716
España,2016,Soja,12440102,3.16,3934817
España,2016,Trigo,32446693,6.65,4882380
España,2016,Té,504630,2.8,180220
España,2017,Algodón,6466262,2.17,2976829
España,2017,Café,302785,1.07,283598
España,2017,Caña de azúcar,661957822,85.5,7742620
España,2017,Cebada,6373107,4.25,1498195
España,2017,Girasol,2327068,1.59,1467051
España,2017,Soja,20001566,4.13,4842133
España,2017,Trigo,5060773,3.53,1435673
España,2017,Té,620805,2.69,230616
España,2018,Algodón,9775063,2.96,3302768
España,2018,Café,500050,1.85,270111
España,2018,Caña de azúcar,572899680,61.49,9316474
España,2018,Cebada,6729433,5.75,1169613
España,2018,Girasol,6512624,2.45,2662388
España,2018,Soja,491949,2.69,182741
España,2018,Trigo,28388837,8.37,3390687
España,2018,Té,699320,3.61,193643
España,2019,Algodón,1186685,2.5,474799
España,2019,Café,946443,2.43,390039
España,2019,Caña de azúcar,154627960,67.71,2283829
España,2019,Cebada,6621618,3.27,2022147
España,2019,Girasol,18394434,3.95,4653313
España,2019,Soja,11167667,2.54,4405303
España,2019,Trigo,12490196,7.44,1678156
España,2019,Té,128076,0.99,128870
España,2020,Algodón,15543588,4.21,3693079
España,2020,Café,202454,2.21,91810
España,2020,Caña de azúcar,434816978,123.1,3532115
España,2020,Cebada,9950455,5.49,1813890
España,2020,Girasol,980120,2.1,466876
España,2020,Soja,18307191,4.67,3916482
España,2020,Trigo,5241170,1.88,2783965
España,2020,Té,279207,1.27,219731
Estados Unidos,2011,Algodón,2925948,3.92,746437
Estados Unidos,2011,Arroz,6310104,4.16,1515527
Estados Unidos,2011,Caña de azúcar,302252772,72.26,4183118
Estados Unidos,2011,Cebada,5309930,3.45,1540777
Estados Unidos,2011,Girasol,2473119,1.76,1407727
Estados Unidos,2011,Maíz,31248261,10.04,3111264
Estados Unidos,2011,Trigo,22754122,4.59,4961874
Estados Unidos,2011,Té,92080,1.15,80107
Estados Unidos,2012,Algodón,6826536,3.47,1966641
Estados Unidos,2012,Arroz,12215610,6.77,1803411
Estados Unidos,2012,Caña de azúcar,226541491,70.29,3222750
Estados Unidos,2012,Cebada,7808116,5.5,1419480
Estados Unidos,2012,Girasol,9157720,3.02,3037060
Estados Unidos,2012,Maíz,7635622,7.85,972525
Estados Unidos,2012,Trigo,781498,2.32,337546
Estados Unidos,2012,Té,495688,1.7,291769
Estados Unidos,2013,Algodón,3965714,1.78,2225658
Estados Unidos,2013,Arroz,16343391,6.0,2724671
Estados Unidos,2013,Caña de azúcar,374831609,97.1,3860287
Estados Unidos,2013,Cebada,7939678,5.48,1450111
Estados Unidos,2013,Girasol,7188568,1.59,4520329
Estados Unidos,2013,Maíz,37284991,4.73,7875390
Estados Unidos,2013,Trigo,22326033,8.07,2765763
Estados Unidos,2013,Té,161748,1.92,84451
Estados Unidos,2014,Algodón,5639302,3.13,1800614
Estados Unidos,2014,Arroz,4461103,6.44,692298
Estados Unidos,2014,Caña de azúcar,39418652,78.3,503427
Estados Unidos,2014,Cebada,9398163,6.86,1369605
Estados Unidos,2014,Girasol,2858777,3.66,780340
Estados Unidos,2014,Maíz,18917053,7.53,2513669
Estados Unidos,2014,Trigo,42525703,8.29,5130825
Estados Unidos,2014,Té,205217,2.57,79770
Estados Unidos,2015,Algodón,207071,2.23,92743
Estados Unidos,2015,Arroz,11503705,5.84,1971236
Estados Unidos,2015,Caña de azúcar,103622663,91.6,1131248
Estados Unidos,2015,Cebada,2061988,4.38,470886
Estados Unidos,2015,Girasol,8303171,2.95,2816115
